OBJECTID *,Shape *,id,მუნიციპალიტეტი_ka,მუნიციპალიტეტი_en,რეგიონი,მუნიციპალიტეტი_ფართობი_კვმ,მუნიციპალიტეტი_ფართობი_ჰა,საპატრიარქოს_მიწები_კვმ,საპატრიარქოს_მიწები_ჰა,საპატრიარქოს_მიწები_თანაფარდობა_პროც,მიწის_ტიპი_სასოფლო_კვმ,მიწის_ტიპი_სასოფლო_ჰა,მიწის_ტიპი_არასასოფლო_კვმ,მიწის_ტიპი_არასასოფლო_ჰა,მიწის_ტიპი_ტყე_კვმ,მიწის_ტიპი_ტყე_ჰა,გადაცემის_ფორმა_გაცვლით_კვმ,გადაცემის_ფორმა_გაცვლით_ჰა,გადაცემის_ფორმა_დროებით_კვმ,გადაცემის_ფორმა_დროებით_ჰა,გადაცემის_ფორმა_შესყიდვა_კვმ,გადაცემის_ფორმა_შესყიდვა_ჰა,გადაცემის_ფორმა_კონსტიტუციით_კვმ,გადაცემის_ფორმა_კონსტიტუციით_ჰა,გადაცემის_ფორმა_საბაზრო_კვმ,გადაცემის_ფორმა_საბაზრო_ჰა,გადაცემის_ფორმა_სიმბოლური_კვმ,გადაცემის_ფორმა_სიმბოლური_ჰა,გადაცემის_ფორმა_უსასყიდლოდ_კვმ,გადაცემის_ფორმა_უსასყიდლოდ_ჰა,გადაცემის_ფორმა_უცნობი_კვმ,გადაცემის_ფორმა_უცნობი_ჰა,გადაცემის_ფორმა_შეწირულება_კვმ,გადაცემის_ფორმა_შეწირულება_ჰა,კლასი_საპ_მიწები,კლასი_თანაფარდობა,კლასი_სასოფლო,კლასი_არასასოფლო,კლასი_ტყე,კლასი_გაცვლით,კლასი_დროებით,კლასი_შესყიდვა,კლასი_კონსტიტუციით,კლასი_საბაზრო,კლასი_სიმბოლური,კლასი_უსასყიდლოდ,კლასი_უცნობი,კლასი_შეწირულება,ტექსტი_მუნიც_ფართობი,ტექსტი_საპ_მიწები,ტექსტი_თანაფარდობა,ტექსტი_სასოფლო,ტექსტი_არასასოფლო,ტექსტი_ტყე,ტექსტი_გაცვლით,ტექსტი_დროებით,ტექსტი_შესყიდვა,ტექსტი_კონსტიტუციით,ტექსტი_საბაზრო,ტექსტი_სიმბოლური,ტექსტი_უსასყიდლოდ,ტექსტი_უცნობი,ტექსტი_შეწირულება
1,Polygon M,1,ქ. ბათუმი,C. Batumi,აჭარის ა.რ.,65194893.08,6519.489308,23075,2.3075,0.035394,2953,0.2953,20122,2.0122,0,0,1853,0.1853,0,0,0,0,3609,0.3609,0,0,4742,0.4742,9919,0.9919,0,0,2952,0.2952,2,2,1,2,0,2,0,0,1,0,1,1,0.00,1,"6,519.49",2.31,0.04,0.3,2.01,0,0.19,0,0,0.36,0,0.47,0.99,0,0.3
2,Polygon M,2,ქედა,Keda,აჭარის ა.რ.,459060842.1,45906.08421,5206,0.5206,0.001134,0,0,5206,0.5206,0,0,0,0,0,0,0,0,0,0,0,0,5206,0.5206,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0.00,0,"45,906.08",0.52,< 0.01,0,0.52,0,0,0,0,0,0,0.52,0,0,0
3,Polygon M,3,ხელვაჩაური,Khelvachauri,აჭარის ა.რ.,356359973.3,35635.99733,85696,8.5696,0.024048,41672,4.1672,21024,2.1024,23000,2.3,1502,0.1502,23000,2.3,0,0,50303,5.0303,0,0,10891,1.0891,0,0,0,0,0,0,3,2,2,2,2,2,2,0,3,0,3,0,0.00,0,"35,636",8.57,0.02,4.17,2.1,2.3,0.15,2.3,0,5.03,0,1.09,0,0,0
4,Polygon M,4,ხულო,Khulo,აჭარის ა.რ.,692223907.2,69222.39072,9862,0.9862,0.001425,9400,0.94,462,0.0462,0,0,0,0,0,0,0,0,0,0,0,0,462,0.0462,0,0,0,0,9400,0.94,1,1,1,1,0,0,0,0,0,0,1,0,0.00,2,"69,222.39",0.99,< 0.01,0.94,0.05,0,0,0,0,0,0,0.05,0,0,0.94
5,Polygon M,5,ქობულეთი,Kobuleti,აჭარის ა.რ.,741738832.1,74173.88321,435435,43.5435,0.058705,22850,2.285,196585,19.6585,216000,21.6,0,0,227810,22.781,0,0,10250,1.025,0,0,24729,2.4729,149796,14.9796,0,0,22850,2.285,4,3,2,4,4,0,4,0,2,0,3,3,0,3,"74,173.88",43.54,0.06,2.28,19.66,21.6,0,22.78,0,1.03,0,2.47,14.98,0,2.28
6,Polygon M,6,შუახევი,Shuakhevi,აჭარის ა.რ.,577792084,57779.20841,61776,6.1776,0.010692,0,0,61776,6.1776,0,0,0,0,0,0,0,0,0,0,0,0,61776,6.1776,0,0,0,0,0,0,3,2,0,3,0,0,0,0,0,0,4,0,0.00,0,"57,779.21",6.18,0.01,0,6.18,0,0,0,0,0,0,6.18,0,0,0
7,Polygon M,7,თბილისი,Tbilisi,ქ. თბილისი,502403148.5,50240.31485,1261106.95,126.110695,0.251015,25304,2.5304,932802.95,93.280295,303000,30.3,278,0.0278,310409,31.0409,829,0.0829,133934,13.3934,3000,0.3,225918.95,22.591895,538181,53.8181,0,0,48557,4.8557,6,4,2,5,4,1,4,1,4,2,5,4,0.00,3,"50,240.31",126.11,0.25,2.53,93.28,30.3,0.03,31.04,0.08,13.39,0.3,22.59,53.82,0,4.86
8,Polygon M,8,გორი,Gori,შიდა ქართლი,1269384093,126938.4093,4294392,429.4392,0.338305,3903691,390.3691,390701,39.0701,0,0,0,0,26668,2.6668,0,0,2489618,248.9618,0,0,909911,90.9911,3288,0.3288,0,0,864907,86.4907,6,4,5,4,0,0,2,0,6,0,6,1,0.00,6,"126,938.41",429.44,0.34,390.37,39.07,0,0,2.67,0,248.96,0,90.99,0.33,0,86.49
9,Polygon M,9,კასპი,Kaspi,შიდა ქართლი,780619262.1,78061.92621,456987,45.6987,0.058542,57469,5.7469,399518,39.9518,0,0,216,0.0216,18001,1.8001,0,0,152428,15.2428,0,0,0,0,248876,24.8876,0,0,37466,3.7466,4,3,2,4,0,1,2,0,4,0,0,3,0.00,3,"78,061.93",45.7,0.06,5.75,39.95,0,0.02,1.8,0,15.24,0,0,24.89,0,3.75
10,Polygon M,10,ქარელი,Kareli,შიდა ქართლი,687423320.6,68742.33206,938653,93.8653,0.136547,308526,30.8526,630127,63.0127,0,0,0,0,4400,0.44,0,0,676672,67.6672,0,0,8905,0.8905,53992,5.3992,0,0,194684,19.4684,5,4,3,5,0,0,1,0,5,0,2,2,0.00,5,"68,742.33",93.87,0.14,30.85,63.01,0,0,0.44,0,67.67,0,0.89,5.4,0,19.47
