source,target,value,group
აჭარის ა.რ.:,უსასყიდლოდ გადაცემა:,15.9715,type_g
გურია:,უსასყიდლოდ გადაცემა:,30.97,type_g
თბილისი:,უსასყიდლოდ გადაცემა:,53.8181,type_g
იმერეთი:,უსასყიდლოდ გადაცემა:,8.2051,type_g
კახეთი:,უსასყიდლოდ გადაცემა:,12.3494,type_g
მცხეთა-მთიანეთი:,უსასყიდლოდ გადაცემა:,24.381,type_g
რაჭა-ლეჩხუმი და ქვემო სვანეთი:,უსასყიდლოდ გადაცემა:,0.4972,type_g
სამეგრელო-ზემო სვანეთი:,უსასყიდლოდ გადაცემა:,519.6276,type_g
სამცხე-ჯავახეთი:,უსასყიდლოდ გადაცემა:,114.71,type_g
ქვემო ქართლი:,უსასყიდლოდ გადაცემა:,1566.3801,type_g
შიდა ქართლი:,უსასყიდლოდ გადაცემა:,36.7837,type_g
აჭარის ა.რ.:,დროებით სარგებლობაში:,25.081,type_b
გურია:,დროებით სარგებლობაში:,1.6342,type_b
თბილისი:,დროებით სარგებლობაში:,31.0409,type_b
იმერეთი:,დროებით სარგებლობაში:,53.8922,type_b
კახეთი:,დროებით სარგებლობაში:,1472.5193,type_b
მცხეთა-მთიანეთი:,დროებით სარგებლობაში:,54.0483,type_b
სამეგრელო-ზემო სვანეთი:,დროებით სარგებლობაში:,149.0872,type_b
სამცხე-ჯავახეთი:,დროებით სარგებლობაში:,151.9867,type_b
ქვემო ქართლი:,დროებით სარგებლობაში:,225.0408,type_b
შიდა ქართლი:,დროებით სარგებლობაში:,6.0355,type_b
აჭარის ა.რ.:,კონსტიტუციური შეთანხმებით:,6.4162,type_d
გურია:,კონსტიტუციური შეთანხმებით:,28.4939,type_d
თბილისი:,კონსტიტუციური შეთანხმებით:,13.3934,type_d
იმერეთი:,კონსტიტუციური შეთანხმებით:,7.8105,type_d
კახეთი:,კონსტიტუციური შეთანხმებით:,40.4762,type_d
მცხეთა-მთიანეთი:,კონსტიტუციური შეთანხმებით:,25.794,type_d
რაჭა-ლეჩხუმი და ქვემო სვანეთი:,კონსტიტუციური შეთანხმებით:,4.1885,type_d
სამეგრელო-ზემო სვანეთი:,კონსტიტუციური შეთანხმებით:,52.9886,type_d
სამცხე-ჯავახეთი:,კონსტიტუციური შეთანხმებით:,50.242,type_d
ქვემო ქართლი:,კონსტიტუციური შეთანხმებით:,74.0793,type_d
შიდა ქართლი:,კონსტიტუციური შეთანხმებით:,362.8212,type_d
აჭარის ა.რ.:,შეწირულება:,3.5202,type_i
გურია:,შეწირულება:,7.3641,type_i
თბილისი:,შეწირულება:,4.8557,type_i
იმერეთი:,შეწირულება:,36.0091,type_i
კახეთი:,შეწირულება:,129.4152,type_i
მცხეთა-მთიანეთი:,შეწირულება:,13.2824,type_i
რაჭა-ლეჩხუმი და ქვემო სვანეთი:,შეწირულება:,1.3102,type_i
სამეგრელო-ზემო სვანეთი:,შეწირულება:,99.0812,type_i
სამცხე-ჯავახეთი:,შეწირულება:,23.6728,type_i
ქვემო ქართლი:,შეწირულება:,47.3832,type_i
შიდა ქართლი:,შეწირულება:,109.9554,type_i
აჭარის ა.რ.:,სიმბოლურ ფასად შეძენა:,10.7806,type_f
გურია:,სიმბოლურ ფასად შეძენა:,0.225,type_f
თბილისი:,სიმბოლურ ფასად შეძენა:,22.591895,type_f
იმერეთი:,სიმბოლურ ფასად შეძენა:,2.188808,type_f
კახეთი:,სიმბოლურ ფასად შეძენა:,13.8005,type_f
მცხეთა-მთიანეთი:,სიმბოლურ ფასად შეძენა:,21.8796,type_f
რაჭა-ლეჩხუმი და ქვემო სვანეთი:,სიმბოლურ ფასად შეძენა:,1.8608,type_f
სამეგრელო-ზემო სვანეთი:,სიმბოლურ ფასად შეძენა:,10.7499,type_f
სამცხე-ჯავახეთი:,სიმბოლურ ფასად შეძენა:,13.6268,type_f
ქვემო ქართლი:,სიმბოლურ ფასად შეძენა:,16.6002,type_f
შიდა ქართლი:,სიმბოლურ ფასად შეძენა:,92.2646,type_f
გურია:,კერძო პირისგან შესყიდვა:,1.1634,type_c
თბილისი:,კერძო პირისგან შესყიდვა:,0.0829,type_c
იმერეთი:,კერძო პირისგან შესყიდვა:,0.0532,type_c
კახეთი:,კერძო პირისგან შესყიდვა:,51.0546,type_c
მცხეთა-მთიანეთი:,კერძო პირისგან შესყიდვა:,1.809,type_c
სამეგრელო-ზემო სვანეთი:,კერძო პირისგან შესყიდვა:,23.0222,type_c
სამცხე-ჯავახეთი:,კერძო პირისგან შესყიდვა:,2.17,type_c
ქვემო ქართლი:,კერძო პირისგან შესყიდვა:,0.1807,type_c
სამეგრელო-ზემო სვანეთი:,უცნობი სტატუსი:,0.1024,type_h
ქვემო ქართლი:,უცნობი სტატუსი:,6.13,type_h
აჭარის ა.რ.:,გაცვლით მიღებული:,0.3355,type_a
თბილისი:,გაცვლით მიღებული:,0.0278,type_a
სამცხე-ჯავახეთი:,გაცვლით მიღებული:,0.2851,type_a
შიდა ქართლი:,გაცვლით მიღებული:,0.0216,type_a
თბილისი:,საბაზრო ფასად შეძენა:,0.3,type_e
იმერეთი:,საბაზრო ფასად შეძენა:,0.015,type_e
მცხეთა-მთიანეთი:,საბაზრო ფასად შეძენა:,0.0127,type_e
სამცხე-ჯავახეთი:,საბაზრო ფასად შეძენა:,0.06,type_e
